Spawnentry,Dino,Abyssal Xiphactinus,Acrocanthosaurus,Archelon,Brachiosaurus,Concavenator,Cryolophosaurus,Deinosuchus,Deinotherium,Helicoprion,Wooly Brachiosaurus,Xiphactinus,Albertosaurus,Ceratosaurus,Edmontosaurus,Elasmotherium,Giant Jaguar,Giant Dart Frog,Majungasaurus,Monolophosaurus,Nanuqsaurus,Ornitholestes,Orolotitan,Primal Owl,Shastasaurus,Smilodon,Sperm Whale,Wooly Mammoth,Aegis,Atlas Capucin,Forest Elephant,Grand Tortugar,Harbinger,Heracles,Hippocampus,Jiiba Dolphin,Midgard Moray,Nyoomarlin,Pangolin Rhinoceros,Pelagic Crocodile,Phantom Manta,Tyrant Scorpion,Acheroraptor,Anzu,Axelrodichthys,Baculites,Dilong,Dracovenator,Genyodectes,Giant Sea Slug,Hainosaurus,Hyneria,Inostrancevia,Jiangjunosaurus,Kelenken,Lirainosaurus,Lualabaea,Lythronax,Mapusaurus,Massospondylus,Nasutoceratops,Neimongosaurus,Neovenator,Ornithocheirus,Paraxenisaurus,Ouranosaurus,Pinacosaurus,Postosuchus,Prionosuchus,Pyroraptor,Saltasaurus,Scelidosaurus,Siamosaurus,Tsintaosaurus,Venenosaurus,Yangchuanosaurus,Zuniceratops,Anteosaurus,Anthracosaurus,Apatosaurus,Archaeoindris,Australovenator,Austroraptor,Balaur,Banguela,Becklespinax,Belluasaurus,Binturong,Brachauchenius,Camarasaurus,Cedarosaurus,Chungkingosaurus,Daspletosaurus,Deltadromeus,Dinocrocuta,Epanterias,Eryops,Europasaurus,Fasolasuchus,Gargoyleosaurus,Gigantspinosaurus,Gigatitan,Harpagornis,Herrerasaurus,Ichthyovenator,Lucanidae,Metriacanthosaurus,Narwhal,Nigersaurus,Oxalaia,Pentaceratops,Phosphatodraco,Plateosaurus,Psittacosaurus,Qianzhousaurus,Rajasaurus,Red Panda ,Rhizodus,Sauropelta,Segnosaurus,Shantungosaurus,Shunosaurus,Sinotyrannus,Squalicorax,Stygimoloch,Styracosaurus,Suchomimus,Tarbosaurus,Thorned Dreadweaver,Torosaurus,Torvosaurus,Tyrannotitan,Vallibonavenatrix,Camel,Exotic Bird,Gecko,Hare,Owl,Snowy Owl,Snow Leopard,Mountain Goat,Acrophyseter,Anomalocaris,Arganodus,Arowana,Broadtooth Mako Shark,Chinlea,Cryptoclidus,Dinichthys,Eastmanosteus,Fiddler Crab,Giant Octopus,Giant Vampire Squid,Goliath Tigerfish,Goonch Catfish,Great White Shark,Hydrarchos,Hydrotherosaurus,Kronosaurus,Leopard Seal,Lungfish,Ophthalmosaurus,Orca,Perch,Pike,Piraiba Catfish,Protostega,Saltwater Crocodile,Shonisaurus,Tiger Shark,Titan Sailfish,Tylosaurus,Walrus,Zygophyseter,Forest Wyvern,Royal Phoenix,Meraxes Vastator,Diploceraspis,Dryosaurus,Hector's Dolphin,Ichthyostega,Onchopristis,Pakasuchus,Platyopo,Whatcheeria,Aurochs,Bobcat,Bos,Corvus,Dryptosaurus,Hammerhead,Homotherium,Kolponomos,Lycoteuthis,Maiabalaena,Mihirung,Moa,Palaeeudyptes,Parrot,Sivatherium,Timber Wolf,Alamodactylus,Angaturama,Carnoraptor,Chilantaisaurus,Coelophysis,Geosternbergia,Kryptops,Padillasaurus,Skorpiovenator,Thalassodromeus,Achillobator,Arapaima,Cyprus Dwarf Hippo,Dakosaurus
SE_DinoSpawnEntriesCanyons_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.05,,,,0.03,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.05,,,,,,,,,,,,,,,,,,0.05,,0.03,,,
SE Mountain,EntryWeight,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,,r,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
SE_DinoSpawnEntriesMountain_C,Limit,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
SE Green Desert,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.05,,,0.03,,,
SE_DinoSpawnEntriesGreenDesert_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.05,,,0.03,,,
Snow Shoreline,EntryWeight,,,,,,,,,,0.04,,,,,0.05,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSnowShoreline_PGM_C,Limit,,,,,,,,,,0.04,,,,,0.05,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Mountain,EntryWeight,,,,,,0.03,,,,0.03,,,,,0.03,,,,,0.05,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.06,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSnowMountain_PGM_C,Limit,,,,,,0.03,,,,0.03,,,,,0.03,,,,,0.05,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.05,,,,,,,,,,,,,,,,,,,,,,
Monster Island,EntryWeight,,0.04,,,,,,,,,,0.05,0.05,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.15,,,,,0.04,,,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.04,,,0.04,,,,,,,
DinoSpawnEntriesMonsterIsland_C,Limit,,0.04,,,,,,,,,,0.05,0.05,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.1,,,,,0.04,,,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.04,,,0.04,,,,,,,
Gen1 Volcano,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,r,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.05,,,,,,,,,,,,0.05,,,,,,,0.07,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,r,,,,,,,,r,,,,,,,,,,,,,,,
Gen1_Volcano_DinoSpawnEntries_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.05,,,,,,,,,,,,0.05,,,,,,,0.07,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen1 Volcano Cave,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen1_Volcano_Cave_DinoSpawnEntries_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Water,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntries_SwampWater_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelican,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesPelican_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguins,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesPenguins_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Wyverns,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesWyvern_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,EntryWeight,r,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,r,,,,r,,,r,,,,,r,,,,,r,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,r,r,,,r,,,,,,r,r,,,,,,,,,r,r,,,r,,,,,,,,,,,,,,,,,,,0.05,,,r,0.04,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntries_Ocean_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,
Inland Water,EntryWeight,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,r,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,0.02,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.04,0.02,0.02
DinoSpawnEntries_InlandWater_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.04,0.02,0.02
Redwood Water,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,0.03,,,,,,,0.05,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
DinoSpawnEntries_RedwoodWater_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.05,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
Shallow Water,EntryWeight,,,,,,,r,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,r,,,,,,,,,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntries_ShallowWater_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caballus Redwood Water,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.05,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,0.03,,,,,,,0.05,,,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaballusDinoSpawnEntries_RedwoodWater,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.03,,,,,,0.03,,,0.05,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,0.03,,,,,,,0.05,,,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Water,EntryWeight,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,r,,r,,,,,,,,,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,0.05,0.05,,,0.05,,,,,,,,,r,r,,,,,r,,,,,,,,,,,,r,,r,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntries_DeepWater_C,Limit,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
Dark Water,EntryWeight,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.05,0.05,,,0.05,,,,0.05,0.05,0.05,0.05,,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntries_DarkWater_C,Limit,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.05,0.05,,,0.05,,,,0.05,0.05,0.05,0.05,,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
Caballus Grassland,EntryWeight,,,,0.05,,,,0.045,,,,,0.03,0.04,,,,,0.05,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.07,,,,0.05,,0.03,,,0.03,,,,,,,,,0.03,,,,,,0.05,,,0.04,,,,,,,0.05,0.05,0.05,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
CaballusDinoSpawnEntriesGrassland_C,Limit,,,,0.05,,,,0.035,,,,,0.02,0.04,,,,,0.05,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.05,,,,0.05,,0.03,,,0.03,,,,,,,,,0.03,,,,,,0.05,,,0.04,,,,,,,0.05,0.05,0.05,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
Caballus Mountain,EntryWeight,,0.02,,0.04,,,,0.03,,,,0.04,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.06,,,,,,,,,0.04,,,,,,0.04,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.04,0.05,,,,,,,,,,,,0.04,,,,,,,,0.04,,,,,,,,,0.05,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,0.04,,,0.05,0.04,,,,,,,0.04,,,
CaballusDinoSpawnEntriesMountain_C,Limit,,0.02,,0.04,,,,0.03,,,,0.04,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.06,,,,,,,,,0.04,,,,,,0.04,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.04,0.05,,,,,,,,,,,,0.04,,,,,,,,0.04,,,,,,,,,0.05,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,0.04,,,0.05,0.04,,,,,,,0.04,,,
Caballus Obsidian Island,EntryWeight,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,0.03,0.03,,0.04,,,,,0.04,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,
CaballusDinoSpawnEntriesObsidianIsland_2_C,Limit,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,0.03,0.03,,0.04,,,,,0.04,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,
Caballus Redwoods,EntryWeight,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,,,0.05,,,,0.035,,,,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
CaballusDinoSpawnEntriesRedwoods,Limit,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,,,0.05,,,,0.05,,,,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
Caballus Steppe,EntryWeight,,,,0.05,,,,,,,,,,,,0.05,,,0.025,,0.05,,0.05,,,,,,0.03,0.05,,,,,,,,,,,,,0.06,,,,,0.05,,,,,,,,,,,,,0.03,,,0.03,,0.06,0.06,,,,0.05,,,,,0.03,,,,0.05,,,,,,,,,0.03,0.05,,0.04,,,0.05,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.05,,,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.04,,,,,,,0.03,,,,,,,,
