"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Campfire_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=True,RemoveEngramPreReq=True)",THE ISLAND / BASE,https://ark-engram-editor.pages.dev/EngramsEditor,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Pike_C"",EngramLevelRequirement=25,EngramPointsCost=10,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneFenceFoundation_C"",EngramLevelRequirement=25,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StonePillar_C"",EngramLevelRequirement=25,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WoodGate_Large_C"",EngramLevelRequirement=25,EngramPointsCost=5,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WoodGateway_Large_C"",EngramLevelRequirement=25,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_FlameArrow_C"",EngramLevelRequirement=26,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CropPlot_Medium_C"",EngramLevelRequirement=26,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Stego_C"",EngramLevelRequirement=26,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WaterJar_C"",EngramLevelRequirement=26,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_PachyRhino_C"",EngramLevelRequirement=27,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneGateway_C"",EngramLevelRequirement=27,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneGate_C"",EngramLevelRequirement=27,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneSlopedWall_Left_C"",EngramLevelRequirement=27,EngramPointsCost=4,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriRoof_Stone_C"",EngramLevelRequirement=27,EngramPointsCost=4,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_BearTrap_C"",EngramLevelRequirement=28,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Handcuffs_C"",EngramLevelRequirement=28,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Manta_C"",EngramLevelRequirement=28,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Fireplace_C"",EngramLevelRequirement=28,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_LargeWall_Stone_C"",EngramLevelRequirement=28,EngramPointsCost=10,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneRailing_C"",EngramLevelRequirement=28,EngramPointsCost=4,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_BallistaTurret_C"",EngramLevelRequirement=29,EngramPointsCost=25,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Galli_C"",EngramLevelRequirement=29,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalSpikeWall_C"",EngramLevelRequirement=29,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_BallistaArrow_C"",EngramLevelRequirement=29,EngramPointsCost=10,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_PoisonTrap_C"",EngramLevelRequirement=29,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Iguanodon_C"",EngramLevelRequirement=30,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Stag_C"",EngramLevelRequirement=30,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalSickle_C"",EngramLevelRequirement=30,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Sword_C"",EngramLevelRequirement=30,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneTrapdoorGiant_C"",EngramLevelRequirement=30,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ceiling_Door_XL_Wood_C"",EngramLevelRequirement=30,EngramPointsCost=5,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WoodTrapdoorGiant_C"",EngramLevelRequirement=30,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CatapultTurret_C"",EngramLevelRequirement=31,EngramPointsCost=25,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_BearTrap_Large_C"",EngramLevelRequirement=31,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Mammoth_C"",EngramLevelRequirement=31,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneGateway_Large_C"",EngramLevelRequirement=31,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneGateLarge_C"",EngramLevelRequirement=31,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Diplodocus_C"",EngramLevelRequirement=32,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Lance_C"",EngramLevelRequirement=32,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Toilet_C"",EngramLevelRequirement=32,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GhillieBoots_C"",EngramLevelRequirement=33,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GhillieShirt_C"",EngramLevelRequirement=33,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GhillieGloves_C"",EngramLevelRequirement=33,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GhilliePants_C"",EngramLevelRequirement=33,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GhillieHelmet_C"",EngramLevelRequirement=33,EngramPointsCost=13,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_TerrorBird_C"",EngramLevelRequirement=33,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TreePlatformWood_C"",EngramLevelRequirement=33,EngramPointsCost=28,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Cannon_C"",EngramLevelRequirement=34,EngramPointsCost=25,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CannonBall_C"",EngramLevelRequirement=34,EngramPointsCost=5,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Doed_C"",EngramLevelRequirement=34,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SimpleBullet_C"",EngramLevelRequirement=34,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Pistol_C"",EngramLevelRequirement=34,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_DisplayCase_C"",EngramLevelRequirement=35,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SimpleRifle_C"",EngramLevelRequirement=35,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Sarco_C"",EngramLevelRequirement=35,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Scope_C"",EngramLevelRequirement=35,EngramPointsCost=13,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SimpleRifleBullet_C"",EngramLevelRequirement=35,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TreePlatformStone_C"",EngramLevelRequirement=35,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Ankylo_C"",EngramLevelRequirement=36,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_BeerBarrel_C"",EngramLevelRequirement=36,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CropPlot_Large_C"",EngramLevelRequirement=36,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TreeSapTap_C"",EngramLevelRequirement=36,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChitinBoots_C"",EngramLevelRequirement=37,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChitinShirt_C"",EngramLevelRequirement=37,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChitinGloves_C"",EngramLevelRequirement=37,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChitinHelmet_C"",EngramLevelRequirement=37,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChitinPants_C"",EngramLevelRequirement=37,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Saber_C"",EngramLevelRequirement=37,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ceiling_Door_XL_Stone_C"",EngramLevelRequirement=37,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Grenade_C"",EngramLevelRequirement=38,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Ptero_C"",EngramLevelRequirement=38,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MiracleGro_C"",EngramLevelRequirement=38,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Kaprosuchus_C"",EngramLevelRequirement=39,EngramPointsCost=28,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalShield_C"",EngramLevelRequirement=39,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SimpleShotgun_C"",EngramLevelRequirement=39,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SimpleShotgunBullet_C"",EngramLevelRequirement=39,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Spider_C"",EngramLevelRequirement=40,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Toad_C"",EngramLevelRequirement=40,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalPipeIntake_C"",EngramLevelRequirement=40,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalPipeTap_C"",EngramLevelRequirement=40,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_PoisonGrenade_C"",EngramLevelRequirement=40,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WaterTankMetal_C"",EngramLevelRequirement=41,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Paracer_C"",EngramLevelRequirement=41,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Silencer_C"",EngramLevelRequirement=41,EngramPointsCost=13,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Chalico_C"",EngramLevelRequirement=42,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GreenhouseCeiling_C"",EngramLevelRequirement=42,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriCeiling_Greenhouse_C"",EngramLevelRequirement=42,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GreenhouseWall_C"",EngramLevelRequirement=42,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ceiling_Door_XL_Adobe_C"",EngramLevelRequirement=43,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GreenhouseDoor_C"",EngramLevelRequirement=43,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HarpoonGun_C"",EngramLevelRequirement=43,EngramPointsCost=38,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Pela_C"",EngramLevelRequirement=43,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Dunkle_C"",EngramLevelRequirement=44,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GreenhouseRoof_C"",EngramLevelRequirement=44,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GreenhouseSlopedWall_Left_C"",EngramLevelRequirement=44,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriRoof_Greenhouse_C"",EngramLevelRequirement=44,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TripwireC4_C"",EngramLevelRequirement=44,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Archelon_ASA_C"",EngramLevelRequirement=45,EngramPointsCost=44,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Direbear_C"",EngramLevelRequirement=45,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalCeiling_C"",EngramLevelRequirement=45,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalDoor_C"",EngramLevelRequirement=45,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalFloor_C"",EngramLevelRequirement=45,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriCeiling_Metal_C"",EngramLevelRequirement=45,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriFoundation_Metal_C"",EngramLevelRequirement=45,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalWall_C"",EngramLevelRequirement=45,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Pliers_C"",EngramLevelRequirement=45,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Carno_C"",EngramLevelRequirement=46,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalPillar_C"",EngramLevelRequirement=46,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalRailing_C"",EngramLevelRequirement=46,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GrapplingHook_C"",EngramLevelRequirement=47,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Megalodon_C"",EngramLevelRequirement=47,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ramp_Metal_C"",EngramLevelRequirement=47,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalSlopedWall_Left_C"",EngramLevelRequirement=47,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TriRoof_Metal_C"",EngramLevelRequirement=47,EngramPointsCost=10,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Electronics_C"",EngramLevelRequirement=48,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Fabricator_C"",EngramLevelRequirement=48,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalFenceFoundation_C"",EngramLevelRequirement=48,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalLadder_C"",EngramLevelRequirement=48,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Polymer_C"",EngramLevelRequirement=48,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Baryonyx_C"",EngramLevelRequirement=49,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_PowerGenerator_C"",EngramLevelRequirement=49,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_LargeWall_Metal_C"",EngramLevelRequirement=49,EngramPointsCost=17,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Camera_C"",EngramLevelRequirement=50,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Grill_C"",EngramLevelRequirement=50,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Lamppost_C"",EngramLevelRequirement=50,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalSign_Large_C"",EngramLevelRequirement=50,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalSign_C"",EngramLevelRequirement=50,EngramPointsCost=10,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_LamppostOmni_C"",EngramLevelRequirement=50,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Paracer_Platform_C"",EngramLevelRequirement=50,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_YiLing_C"",EngramLevelRequirement=50,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChainBola_C"",EngramLevelRequirement=51,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Radio_C"",EngramLevelRequirement=51,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Thylaco_C"",EngramLevelRequirement=51,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WarMap_C"",EngramLevelRequirement=51,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Flashlight_C"",EngramLevelRequirement=52,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Megatherium_C"",EngramLevelRequirement=52,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalGate_C"",EngramLevelRequirement=52,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalGateway_C"",EngramLevelRequirement=52,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Keypad_C"",EngramLevelRequirement=53,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SprayPainter_C"",EngramLevelRequirement=53,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Rhino_C"",EngramLevelRequirement=53,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
