DinoName,Info,FromClass,DinoName,ToClass1,ChanceTo1,DinoName,ToClass2,ChanceTo2,DinoName,ToClass3,ChanceTo3,DinoName,ToClass4,ChanceTo4,DinoName,ToClass5,ChanceTo5,DinoName,ToClass6,ChanceTo6,DinoName,ToClass7,ChanceTo7
Arbo Dinopith,15% of bigfoot,/Arboreal_Additions/OtherDLCs/Dinopithecus/AA_Dinopithecus_Character_BP.AA_Dinopithecus_Character_BP,Shad Gigantopithecus,/ShadsCritterReworks/Content/Bigfoot/Bigfoot_Character_BP_Shad.Bigfoot_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Amarga,15% of diplodocus,/Arboreal_Additions/OtherDLCs/Amargasaurus/AA_Amargasaurus_Character_BP.AA_Amargasaurus_Character_BP,Shad Diplodocus,/ShadsCritterReworks/Content/Diplo/Diplodocus_Character_BP_Shad.Diplodocus_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Tropeo,15% of ptero,/Arboreal_Additions/OtherDLCs/Tropeognathus/AA_Tropeognathus_Character_BP.AA_Tropeognathus_Character_BP,Shad Pteranodon,/ShadsCritterReworks/Content/Ptero/Ptero_Character_BP_Shad.Ptero_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Catfish,10% of salmon,/Arboreal_Additions/AtlasPorts/Catfish/AA_Catfish_Character_BP.AA_Catfish_Character_BP,Vanilla Salmon,/Game/PrimalEarth/Dinos/Salmon/Salmon_Character_BP.Salmon_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Chicken,10% of dodo,/Arboreal_Additions/AtlasPorts/Chicken/AA_Chicken_Character_BP.AA_Chicken_Character_BP,Vanilla Dodo,/Game/PrimalEarth/Dinos/Dodo/Dodo_Character_BP.Dodo_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Cod,10% of salmon,/Arboreal_Additions/AtlasPorts/Cod/AA_Cod_Character_BP.AA_Cod_Character_BP,Vanilla Salmon,/Game/PrimalEarth/Dinos/Salmon/Salmon_Character_BP.Salmon_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Crocodile ,10% of sarco,/Arboreal_Additions/AtlasPorts/Crocodile/AA_Crocodile_Character_BP.AA_Crocodile_Character_BP,Shad Sarco,/ShadsCritterReworks/Content/Sarco/Sarco_Character_BP_Shad.Sarco_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Crow,10% of archaeopteryx,/Arboreal_Additions/AtlasPorts/Crow/AA_Crow_Character_BP.AA_Crow_Character_BP,Vanilla Archaeopteryx,/Game/PrimalEarth/Dinos/Archaeopteryx/Archa_Character_BP.Archa_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Hammerhead,10% of megalodon,/Arboreal_Additions/AtlasPorts/Hammerhead/AA_Hammerhead_Character_BP.AA_Hammerhead_Character_BP,Shad Megalodon,/ShadsCritterReworks/Content/Megalodon/Megalodon_Character_BP_Shad.Megalodon_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Marlin,10% of salmon,/Arboreal_Additions/AtlasPorts/Marlin/AA_Marlin_Character_BP.AA_Marlin_Character_BP,Vanilla Salmon,/Game/PrimalEarth/Dinos/Salmon/Salmon_Character_BP.Salmon_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Monkey,10% of mesopithecus,/Arboreal_Additions/AtlasPorts/Monkey/AA_Monkey_Character_BP.AA_Monkey_Character_BP,Vanilla Mesopithecus,/Game/PrimalEarth/Dinos/Monkey/Monkey_Character_BP.Monkey_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Penguin,10% of kairuku,/Arboreal_Additions/AtlasPorts/Penguin/AA_Penguin_Character_BP.AA_Penguin_Character_BP,Vanilla Kairuku,/Game/PrimalEarth/Dinos/Kairuku/Kairuku_Character_BP.Kairuku_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Pig,10% of daeodon,/Arboreal_Additions/AtlasPorts/Pig/AA_Pig_Character_BP.AA_Pig_Character_BP,Shad Daeodon,/ShadsCritterReworks/Content/Daeodon/Daeodon_Character_BP_Shad.Daeodon_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Razortooth,10% of yuty,/Arboreal_Additions/AtlasPorts/Razortooth/AA_Razortooth_Character_BP.AA_Razortooth_Character_BP,Shad Yutyrannus,/ShadsCritterReworks/Content/Yuty/Yutyrannus_Character_BP_Shad.Yutyrannus_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Shieldhorn,10% of trike,/Arboreal_Additions/AtlasPorts/Shieldhorn/AA_Shieldhorn_Character_BP.AA_Shieldhorn_Character_BP,Shad Trike,/ShadsCritterReworks/Content/Trike/Trike_Character_BP_Shad.Trike_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Shad Alpha Raptor,,/ShadsCritterReworks/Content/AlphaRaptor/MegaRaptor_Character_BP_Shad.MegaRaptor_Character_BP_Shad,Vanilla Alpha Raptor,/Game/PrimalEarth/Dinos/Raptor/MegaRaptor_Character_BP.MegaRaptor_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Ankylosaurus,,/ShadsCritterReworks/Content/Ankylo/Ankylo_Character_BP_Shad.Ankylo_Character_BP_Shad,Vanilla Ankylosaurus,/Game/PrimalEarth/Dinos/Ankylo/Ankylo_Character_BP.Ankylo_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Carchar,"safety, doesnt exist yet",/ShadsCritterReworks/Content/Carch/Carcha_Character_BP_Shad.Carcha_Character_BP_Shad,Vanilla Carcharodontosaurus,/Game/PrimalEarth/Dinos/Carcharodontosaurus/Carcha_Character_BP.Carcha_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Desmodus,,/ShadsCritterReworks/Content/Desmodus/Desmodus_Character_BP_Shad.Desmodus_Character_BP_Shad,Vanilla Desmodus,/Game/Fjordur/Dinos/Desmodus/Desmodus_Character_BP.Desmodus_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Dreadnoughtus,,/ShadsCritterReworks/Content/Dreadnoughtus/Dreadnoughtus_Character_BP_Shad.Dreadnoughtus_Character_BP_Shad,Vanilla Dreadnoughtus,/Game/ASA/Dinos/Dreadnoughtus/Dreadnoughtus_Character_BP.Dreadnoughtus_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Giganotosaurus,,/ShadsCritterReworks/Content/Giga/Gigant_Character_BP_Shad.Gigant_Character_BP_Shad,Vanilla Giganotosaurus,/Game/PrimalEarth/Dinos/Giganotosaurus/Gigant_Character_BP.Gigant_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Kaprosuchus,,/ShadsCritterReworks/Content/Kaprosuchus/Kaprosuchus_Character_BP_Shad.Kaprosuchus_Character_BP_Shad,Vanilla Kaprosuchus,/Game/PrimalEarth/Dinos/Kaprosuchus/Kaprosuchus_Character_BP.Kaprosuchus_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Megalosaurus,,/ShadsCritterReworks/Content/Megalosaur/Megalosaurus_Character_BP_Shad.Megalosaurus_Character_BP_Shad,Vanilla Megalosaurus,/Game/PrimalEarth/Dinos/Megalosaurus/Megalosaurus_Character_BP.Megalosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Neophyte,"safety, doesnt exist yet",/ShadsCritterReworks/Content/Neophyte/Neophyte_Character_BP_Shad.Neophyte_Character_BP_Shad,Vanilla Neophyte,/Game/LostColony/Dinos/Neophyte/Neophyte_Character_BP.Neophyte_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Onyc,,/ShadsCritterReworks/Content/Bat/Bat_Character_BP_Shad.Bat_Character_BP_Shad,Vanilla Onyc,/Game/PrimalEarth/Dinos/Bat/Bat_Character_BP.Bat_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Snow Owl,,/ShadsCritterReworks/Content/SnowOwl/Owl_Character_BP_Shad.Owl_Character_BP_Shad,Vanilla Snow Owl,/Game/Extinction/Dinos/Owl/Owl_Character_BP.Owl_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Terror Bird,,/ShadsCritterReworks/Content/TerrorBird/TerrorBird_Character_BP_Shad.TerrorBird_Character_BP_Shad,Vanilla Terror Bird,/Game/PrimalEarth/Dinos/TerrorBird/TerrorBird_Character_BP.TerrorBird_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Thylacoleo,,/ShadsCritterReworks/Content/Thyla/Thylacoleo_Character_BP_Shad.Thylacoleo_Character_BP_Shad,Vanilla Thylacoleo,/Game/PrimalEarth/Dinos/Thylacoleo/Thylacoleo_Character_BP.Thylacoleo_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Velonasaur,,/ShadsCritterReworks/Content/Velonasaur/Spindles_Character_BP_Shad.Spindles_Character_BP_Shad,Vanilla Velonasaur,/Game/Extinction/Dinos/Spindles/Spindles_Character_BP.Spindles_Character_BP,100,,,,,,,,,,,,,,,,,,
Shad Xiphactinus,,/ShadsCritterReworks/Content/Xiphactinus/Xiphactinus_Character_BP_ASA_Shad.Xiphactinus_Character_BP_ASA_Shad,Vanilla Xiphactinus,/Game/ASA/Dinos/Xiphactinus/Dinos/Xiphactinus_Character_BP_ASA.Xiphactinus_Character_BP_ASA,100,,,,,,,,,,,,,,,,,,
Shad Tek Quetzal,,/ShadsCritterReworks/Content/Quetz/BionicQuetz_Character_BP_Shad.BionicQuetz_Character_BP_Shad,Vanilla Tek Quetzal,/Game/PrimalEarth/Dinos/Quetzalcoatlus/BionicQuetz_Character_BP.BionicQuetz_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Shad Tek Raptor,,/ShadsCritterReworks/Content/TEKRaptor/BionicRaptor_Character_BP_Shad.BionicRaptor_Character_BP_Shad,Vanilla Tek Raptor,/Game/PrimalEarth/Dinos/Raptor/BionicRaptor_Character_BP.BionicRaptor_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Shad Tek Rex,,/ShadsCritterReworks/Content/Rex/BionicRex_Character_BP_Shad.BionicRex_Character_BP_Shad,Vanilla Tek Rex,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Shad Tek Stego,,/ShadsCritterReworks/Content/Stego/BionicStego_Character_BP_Shad.BionicStego_Character_BP_Shad,Vanilla Tek Stego,/Game/PrimalEarth/Dinos/Stego/BionicStego_Character_BP.BionicStego_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Shad Tek Trike,,/ShadsCritterReworks/Content/Trike/BionicTrike_Character_BP_Shad.BionicTrike_Character_BP_Shad,Vanilla Tek Trike,/Game/PrimalEarth/Dinos/Trike/BionicTrike_Character_BP.BionicTrike_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/EVO_Rex_Character_BP.EVO_Rex_Character_BP,Evo Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/EVO_Rex_Character_BP.EVO_Rex_Character_BP,50,Shad Rex,/ShadsCritterReworks/Content/Rex/Rex_Character_BP_Shad.Rex_Character_BP_Shad,50,,,,,,,,,,,,,,,
Evo Tarbo,replaces vanilla on SE,/PA_EVO_Pack_01/Dinos/EVO_Rex/Tarbo/EVO_Tarbo_Character_BP.EVO_Tarbo_Character_BP,Evo Tarbo,/PA_EVO_Pack_01/Dinos/EVO_Rex/Tarbo/EVO_Tarbo_Character_BP.EVO_Tarbo_Character_BP,50,Shad Rex,/ShadsCritterReworks/Content/Rex/Rex_Character_BP_Shad.Rex_Character_BP_Shad,50,,,,,,,,,,,,,,,
Evo Mosa,replaces vanilla fully,/PA_EVO_Pack_02/Dinos/EVO_Mosa/EVO_Mosa_Character_BP.EVO_Mosa_Character_BP,Evo Mosa,/PA_EVO_Pack_02/Dinos/EVO_Mosa/EVO_Mosa_Character_BP.EVO_Mosa_Character_BP,50,Shad Mosa,/ShadsCritterReworks/Content/Mosasaurus/Mosa_Character_BP_Shad.Mosa_Character_BP_Shad,50,,,,,,,,,,,,,,,
Shad Therizino,replaces vanilla fully,/ShadsCritterReworks/Content/Theri/Therizino_Character_BP_Shad.Therizino_Character_BP_Shad,Evo Therizino,/PA_EVO_Pack_03/Dinos/EVO_Therizino/EVO_Therizino_Character_BP.EVO_Therizino_Character_BP,40,Shad Therizino,/ShadsCritterReworks/Content/Theri/Therizino_Character_BP_Shad.Therizino_Character_BP_Shad,60,,,,,,,,,,,,,,,
Appa Carno,50% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Carnotaurus/AppalachianCarno_Character_BP.AppalachianCarno_Character_BP,Shad Carno,/ShadsCritterReworks/Content/Carno/Carno_Character_BP_Shad.Carno_Character_BP_Shad,100,,,,still spawns,,,,,,,,,,,,,,
Appa Chalico,30% of vanilla,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Chalicotherium/AppalachianChalico_Character_BP.AppalachianChalico_Character_BP,Shad Chalico,/ShadsCritterReworks/Content/Chalico/Chalico_Character_BP_Shad.Chalico_Character_BP_Shad,100,,,,still spawns,,,,,,,,,,,,,,
Appa Cerato,58% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Cerato/AppalachianCeratosaurus_Character_BP.AppalachianCeratosaurus_Character_BP,Shad Cerato,/ShadsCritterReworks/Content/Cerato/Ceratosaurus_Character_BP_ASA_Shad.Ceratosaurus_Character_BP_ASA_Shad,100,,,,still spawns,,,,,,,,,,,,,,
Appa Direwolf,40% of vanilla,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Direwolf/AppalachianDirewolf_Character_BP.AppalachianDirewolf_Character_BP,Shad Direwolf,/ShadsCritterReworks/Content/Direwolf/Direwolf_Character_BP_Shad.Direwolf_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Appa Gigantoraptor,50% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Gigantoraptor/AppalachianGigantoraptor_Character_BP.AppalachianGigantoraptor_Character_BP,Shad Gigantoraptor,/ShadsCritterReworks/Content/Gigantoraptor/Gigantoraptor_Character_BP_Shad.Gigantoraptor_Character_BP_Shad,100,,,,still spawns,,,,,,,,,,,,,,
Appa Bronto,80% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianBrontosairis/ASauropod_Character_BP.ASauropod_Character_BP,Appa Bronto,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianBrontosairis/ASauropod_Character_BP.ASauropod_Character_BP,50,Shad Bronto,/ShadsCritterReworks/Content/Bronto/Sauropod_Character_BP_Shad.Sauropod_Character_BP_Shad,50,,,,,,,,,,,,,,,
Shin Magmasaur,30% of pyromanes,/ShinsPortedCreatures/Dinos/Magmasaur/Magmasaur_Character_BP.Magmasaur_Character_BP,Shad Pyromane,/ShadsCritterReworks/Content/Pyromane/FireLion_Character_BP_Shad.FireLion_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
Better Creatures Defense Unit,,/BetterCreatures/DefenseUnit/DefenseUnit_Character_BP.DefenseUnit_Character_BP,Shad Defense Unit,/ShadsCritterReworks/Content/DefenseUnit/ShadDefenseUnit_Character_bp.ShadDefenseUnit_Character_bp,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Scorched Edmontosaurus,/,/PrehistoricBeastsPartV/Edmontosaurus/BPs/Edmontosaurus_Character_BP_Scorched.Edmontosaurus_Character_BP_Scorched,,/PrehistoricBeastsPartV/Edmontosaurus/BPs/Edmontosaurus_Character_BP.Edmontosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Scorched Wak Spino,/,/WAK_Spinosaurus/Dino/Variants/SE/Scorched_Wak_Spinosaurus_Character_BP.Scorched_Wak_Spinosaurus_Character_BP,,/WAK_Spinosaurus/Dino/Wak_Spinosaurus_Character_BP.Wak_Spinosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Appa Carno,50% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Carnotaurus/AppalachianCarno_Character_BP.AppalachianCarno_Character_BP,Vanilla Carno,/Game/PrimalEarth/Dinos/Carno/Carno_Character_BP.Carno_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Appa Chalico,30% of vanilla,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Chalicotherium/AppalachianChalico_Character_BP.AppalachianChalico_Character_BP,Vanilla Chalico,/Game/PrimalEarth/Dinos/Chalicotherium/Chalico_Character_BP.Chalico_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Appa Cerato,58% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Cerato/AppalachianCeratosaurus_Character_BP.AppalachianCeratosaurus_Character_BP,Vanilla Cerato,/Game/ASA/Dinos/Ceratosaurus/Dinos/Ceratosaurus_Character_BP_ASA_C.Ceratosaurus_Character_BP_ASA,100,,,,still spawns,,,,,,,,,,,,,,
Appa Dire Bear,40% of vanilla,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_CaveBear/AppalachianDirebear_Character_BP.AppalachianDirebear_Character_BP,Vanilla Dire Bear,/Game/PrimalEarth/Dinos/Direbear/Direbear_Character_BP.Direbear_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Appa Direwolf,40% of vanilla,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Direwolf/AppalachianDirewolf_Character_BP.AppalachianDirewolf_Character_BP,Vanilla Direwolf,/Game/PrimalEarth/Dinos/Direwolf/Direwolf_Character_BP.Direwolf_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
Appa Gigantoraptor,50% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Gigantoraptor/AppalachianGigantoraptor_Character_BP.AppalachianGigantoraptor_Character_BP,Vanilla Gigantoraptor,/Game/ASA/Dinos/Gigantoraptor/Gigantoraptor_Character_BP.Gigantoraptor_Character_BP,100,,,,still spawns,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Arbo Dinos,,,,,,,,,,,,,,,,,,,,,,,
Scorched Dinos,,,,,,,,,,,,,,,,,,,,,,,
Drakyros,5% of managarmr,,,,,,,,,,,,,,,,,,,,,,
Drakyros,4% of maelizard,,,,,,,,,,,,,,,,,,,,,,
Drakyros,8% of Ab carnos,,,,,,,,,,,,,,,,,,,,,,
Xyphias Hatze,5% of normal hatze,/HatzegopteryKukulkan/Hatzeg/XyphiasVar_Hatzeg_Character_BP.XyphiasVar_Hatzeg_Character_BP,Hatzegopteryx,/HatzegopteryKukulkan/Hatzeg/Hatzeg_Character_BP.Hatzeg_Character_BP,100,,,,,,,,,,,,,,,,,,
Elemental Alpha Raptors,2% of each variant,,,,,,,,,,,,,,,,,,,,,,
Atlas Fishes,"replaces coel, salmon, piranha randomly",,,,,,,,,,,,,,,,,,,,,,
Dickinsonia,0.1% of eurypterid,,,,,,,,,,,,,,,,,,,,,,
Alpha Smilodon,2% of smilodon,,,,,,,,,,,,,,,,,,,,,,
Smilodon,20% of sabers,,,,,,,,,,,,,,,,,,,,,,
Alpha Globster,3% of globster,,,,,,,,,,,,,,,,,,,,,,
Alpha Draconis Glaucus,5% of glaucus,,,,,,,,,,,,,,,,,,,,,,
Mudshieldfish,20% of salmon,,,,,,,,,,,,,,,,,,,,,,
Alpha Skyshroud,5% of normal,,,,,,,,,,,,,,,,,,,,,,
Isle Suchomimus Male,15% of baryonyx,,,,,,,,,,,,,,,,,,,,,,
Isle Suchomimus Female,15% of baryonyx,,,,,,,,,,,,,,,,,,,,,,
Isle Ab Suchomimus Male,20% of baryonyx,,,,,,,,,,,,,,,,,,,,,,
Isle Ab Suchomimus Female,20% of baryonyx,,,,,,,,,,,,,,,,,,,,,,
Alpha Isle Suchomimus,5% of sucho male,,,,,,,,,,,,,,,,,,,,,,
Alpha Rubidgea,2.5 % of rubidgea,,,,,,,,,,,,,,,,,,,,,,
Alpha Tyrannodominator,5% of each normal tyrannodominator,,,,,,,,,,,,,,,,,,,,,,
Sanguivern,5% of desmodus,,,,,,,,,,,,,,,,,,,,,,
Rogue Variant,2% of each Bastion Beetle,,,,,,,,,,,,,,,,,,,,,,
Majungacorn,1% of majunga,,,,,,,,,,,,,,,,,,,,,,
Gargant Spino,25% of griffin,,,,,,,,,,,,,,,,,,,,,,
Huskywolf,35% of direwolf,,,,,,,,,,,,,,,,,,,,,,
Alpha Huskywolf,5% of direwolf,,,,,,,,,,,,,,,,,,,,,,
Ab Huskywolf,30% of ravager,,,,,,,,,,,,,,,,,,,,,,
Alpha Ab Huskywolf,1% of ravager,,,,,,,,,,,,,,,,,,,,,,
Stegotetrabelodon,20% of paracer,,,,,,,,,,,,,,,,,,,,,,
Tek Stegotetrabelodon,5% of stegotetra,,,,,,,,,,,,,,,,,,,,,,
Alpha Galvarex,4% of galvarex,,,,,,,,,,,,,,,,,,,,,,
Alpha Oceania Krono,5% of oce krono,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Appa Bison,30% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Equus,50% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Hyaenodon,50% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Iguanodon,50% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Mammoth,40% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Megaloceros,25% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Parasaur,50% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Trike,50% of vanilla,,,,,,,,,,,,,,,,,,,,,,
Appa Wooly,25% of vanilla,,,,,,,,,,,,,,,,,,,,,,
